Disease,Description
Alzheimer Disease,Alzheimer Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Amblyopia,Amblyopia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Amyloidosis,Amyloidosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Amyotrophic Lateral Sclerosis (ALS),"ALS is a progressive neurodegenerative disease affecting motor neurons, leading to loss of muscle control and eventually respiratory failure."
Amyotrophic Lateral Sclerosis (Als),Amyotrophic Lateral Sclerosis (Als) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anal Fissure,Anal Fissure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anal Fistula,Anal Fistula is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anemia,Anemia is a condition in which the blood lacks enough healthy red blood cells or hemoglobin to carry adequate oxygen to the body's tissues.
Anemia Due To Chronic Kidney Disease,Anemia Due To Chronic Kidney Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anemia Due To Malignancy,Anemia Due To Malignancy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anemia Of Chronic Disease,Anemia Of Chronic Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Angina,Angina is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ankylosing Spondylitis,Ankylosing Spondylitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Anxiety Disorder,"Anxiety disorder is a mental health condition characterized by persistent feelings of worry, fear, and unease that interfere with daily activities."
Aortic Valve Disease,Aortic Valve Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Aphakia,Aphakia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Aphthous Ulcer,Aphthous Ulcer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Aplastic Anemia,Aplastic Anemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Appendicitis,Appendicitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Arrhythmia,Arrhythmia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Arthritis Of The Hip,Arthritis Of The Hip is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ascending Cholangitis,Ascending Cholangitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Asperger Syndrome,Asperger Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Aspergillosis,Aspergillosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Asthma,"Asthma is a chronic respiratory condition in which airways become inflamed and narrowed, causing wheezing, shortness of breath, chest tightness, and coughing."
Astigmatism,Astigmatism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atelectasis,Atelectasis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Athlete'S Foot,Athlete'S Foot is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atonic Bladder,Atonic Bladder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atrial Fibrillation,Atrial Fibrillation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atrial Flutter,Atrial Flutter is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atrophic Skin Condition,Atrophic Skin Condition is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atrophic Vaginitis,Atrophic Vaginitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Atrophy Of The Corpus Cavernosum,Atrophy Of The Corpus Cavernosum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Attention Deficit Hyperactivity Disorder (Adhd),Attention Deficit Hyperactivity Disorder (Adhd) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Autism,Autism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Autonomic Nervous System Disorder,Autonomic Nervous System Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Avascular Necrosis,Avascular Necrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Balanitis,Balanitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bell Palsy,Bell Palsy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Benign Kidney Cyst,Benign Kidney Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Benign Paroxysmal Positional Vertical (Bppv),Benign Paroxysmal Positional Vertical (Bppv) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Benign Prostatic Hyperplasia (Bph),Benign Prostatic Hyperplasia (Bph) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Benign Vaginal Discharge (Leukorrhea),Benign Vaginal Discharge (Leukorrhea) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bipolar Disorder,Bipolar Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Birth Trauma,Birth Trauma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bladder Cancer,Bladder Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bladder Disorder,Bladder Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bladder Obstruction,Bladder Obstruction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Blepharitis,Blepharitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Blepharospasm,Blepharospasm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bone Cancer,Bone Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bone Disorder,Bone Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Brachial Neuritis,Brachial Neuritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Brain Cancer,Brain Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Brain Hemorrhage,"Brain hemorrhage is bleeding in or around the brain, often caused by a ruptured blood vessel, which can be life-threatening and requires immediate medical attention."
Breast Cancer,Breast Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Breast Cyst,Breast Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Breast Infection (Mastitis),Breast Infection (Mastitis) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Broken Tooth,Broken Tooth is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bronchiolitis,Bronchiolitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bronchitis,"Bronchitis is an inflammation of the bronchial tubes, causing coughing with mucus, wheezing, and shortness of breath. It can be acute or chronic."
Bunion,Bunion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Burn,Burn is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Bursitis,Bursitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
COPD,"COPD (Chronic Obstructive Pulmonary Disease) is a chronic inflammatory lung disease causing obstructed airflow, typically due to long-term exposure to irritants like cigarette smoke."
COVID-19,"COVID-19 is an infectious respiratory illness caused by the SARS-CoV-2 virus, causing a range of symptoms from mild cold-like illness to severe respiratory failure."
Callus,Callus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Carbon Monoxide Poisoning,Carbon Monoxide Poisoning is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Carcinoid Syndrome,Carcinoid Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cardiac Arrest,Cardiac Arrest is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cardiomyopathy,Cardiomyopathy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Carpal Tunnel Syndrome,Carpal Tunnel Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cat Scratch Disease,Cat Scratch Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cataract,Cataract is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Celiac Disease,Celiac Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cellulitis Or Abscess Of Mouth,Cellulitis Or Abscess Of Mouth is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Central Atherosclerosis,Central Atherosclerosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Central Retinal Artery Or Vein Occlusion,Central Retinal Artery Or Vein Occlusion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cerebral Edema,Cerebral Edema is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cerebral Palsy,Cerebral Palsy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cervical Cancer,Cervical Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cervical Disorder,Cervical Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cervical Spondylosis,"Cervical spondylosis is age-related degeneration of the discs and joints in the neck, causing neck pain, stiffness, and sometimes neurological symptoms."
Cervicitis,Cervicitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chalazion,Chalazion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chickenpox,"Chickenpox is a highly contagious viral infection causing an itchy blistering rash, fever, and fatigue. It is caused by the varicella-zoster virus."
Chlamydia,Chlamydia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cholecystitis,Cholecystitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Choledocholithiasis,Choledocholithiasis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cholesteatoma,Cholesteatoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chondromalacia Of The Patella,Chondromalacia Of The Patella is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chorioretinitis,Chorioretinitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Cholestasis,"Chronic cholestasis is a long-term condition in which bile cannot flow properly from the liver, leading to bile accumulation and liver damage."
Chronic Constipation,Chronic Constipation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Glaucoma,Chronic Glaucoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Inflammatory Demyelinating Polyneuropathy (Cidp),Chronic Inflammatory Demyelinating Polyneuropathy (Cidp) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Kidney Disease (CKD),"CKD is a long-term condition where the kidneys do not work effectively, leading to accumulation of waste products in the blood."
Chronic Knee Pain,Chronic Knee Pain is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Liver Disease,Chronic liver disease refers to a long-term progressive condition in which liver function is gradually lost over months or years.
Chronic Obstructive Pulmonary Disease (Copd),Chronic Obstructive Pulmonary Disease (Copd) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Otitis Media,Chronic Otitis Media is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Pain Disorder,Chronic Pain Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Pancreatitis,Chronic Pancreatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Rheumatic Fever,Chronic Rheumatic Fever is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Chronic Ulcer,Chronic Ulcer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cirrhosis,"Cirrhosis is severe liver scarring caused by long-term liver damage from hepatitis, alcohol abuse, or other causes, leading to liver failure."
Coagulation (Bleeding) Disorder,Coagulation (Bleeding) Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cold Sore,Cold Sore is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Colonic Polyp,Colonic Polyp is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Colorectal Cancer,Colorectal Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Common Cold,"The common cold is a mild viral respiratory infection of the upper respiratory tract, causing runny nose, sneezing, sore throat, and cough."
Complex Regional Pain Syndrome,Complex Regional Pain Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Concussion,Concussion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conduct Disorder,Conduct Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conductive Hearing Loss,Conductive Hearing Loss is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Congenital Heart Defect,Congenital Heart Defect is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Congenital Malformation Syndrome,Congenital Malformation Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conjunctivitis,Conjunctivitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conjunctivitis Due To Allergy,Conjunctivitis Due To Allergy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conjunctivitis Due To Bacteria,Conjunctivitis Due To Bacteria is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conjunctivitis Due To Virus,Conjunctivitis Due To Virus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Connective Tissue Disorder,Connective Tissue Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Contact Dermatitis,Contact Dermatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Conversion Disorder,Conversion Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cornea Infection,Cornea Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Corneal Abrasion,Corneal Abrasion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Corneal Disorder,Corneal Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Coronary Artery Disease,"Coronary artery disease is a condition where the coronary arteries become narrowed or blocked by plaque, reducing blood flow to the heart muscle."
Coronary Atherosclerosis,Coronary Atherosclerosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cranial Nerve Palsy,Cranial Nerve Palsy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Crohn's Disease,"Crohn's disease is a chronic inflammatory bowel disease that can affect any part of the gastrointestinal tract, causing abdominal pain, diarrhea, and weight loss."
Croup,Croup is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Crushing Injury,Crushing Injury is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cryptococcosis,Cryptococcosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cushing Syndrome,Cushing Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cyst Of The Eyelid,Cyst Of The Eyelid is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cystic Fibrosis,"Cystic fibrosis is a genetic disorder causing thick, sticky mucus to build up in the lungs and digestive tract, leading to serious respiratory and digestive problems."
Cysticercosis,Cysticercosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Cystitis,Cystitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
De Quervain Disease,De Quervain Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Decubitus Ulcer,Decubitus Ulcer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Deep Vein Thrombosis (Dvt),Deep Vein Thrombosis (Dvt) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Degenerative Disc Disease,Degenerative Disc Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Delirium,Delirium is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dementia,"Dementia is a group of symptoms affecting memory, thinking, and social abilities severely enough to interfere with daily life, most commonly caused by Alzheimer's disease."
Dengue Fever,"Dengue fever is a mosquito-borne tropical disease caused by the dengue virus, characterized by high fever, severe headache, muscle pain, and skin rash."
Dental Caries,Dental Caries is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Depression,"Depression is a common and serious mental health disorder characterized by persistent sadness, loss of interest, fatigue, and impaired daily functioning."
Dermatitis Due To Sun Exposure,Dermatitis Due To Sun Exposure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Developmental Disability,Developmental Disability is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Deviated Nasal Septum,Deviated Nasal Septum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diabetes (Type 2),"Type 2 diabetes is a chronic condition that affects how the body processes blood sugar (glucose), causing elevated blood sugar levels due to insulin resistance."
Diabetes Insipidus,Diabetes Insipidus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diabetic Ketoacidosis,Diabetic Ketoacidosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diabetic Kidney Disease,Diabetic Kidney Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diabetic Peripheral Neuropathy,Diabetic Peripheral Neuropathy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diabetic Retinopathy,Diabetic Retinopathy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diaper Rash,Diaper Rash is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Ankle,Dislocation Of The Ankle is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Elbow,Dislocation Of The Elbow is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Finger,Dislocation Of The Finger is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Foot,Dislocation Of The Foot is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Hip,Dislocation Of The Hip is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Knee,Dislocation Of The Knee is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Patella,Dislocation Of The Patella is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Shoulder,Dislocation Of The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Vertebra,Dislocation Of The Vertebra is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dislocation Of The Wrist,Dislocation Of The Wrist is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dissociative Disorder,Dissociative Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diverticulitis,Diverticulitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Diverticulosis,Diverticulosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Down Syndrome,Down Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Abuse,Drug Abuse is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Abuse (Barbiturates),Drug Abuse (Barbiturates) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Abuse (Cocaine),Drug Abuse (Cocaine) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Abuse (Methamphetamine),Drug Abuse (Methamphetamine) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Abuse (Opioids),Drug Abuse (Opioids) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Poisoning Due To Medication,Drug Poisoning Due To Medication is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Drug Reaction/Allergy,"A drug reaction or allergy is an adverse immune system response to a medication, ranging from mild skin rash to severe anaphylaxis."
Drug Withdrawal,Drug Withdrawal is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dry Eye Of Unknown Cause,Dry Eye Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dumping Syndrome,Dumping Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dyshidrosis,Dyshidrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Dysthymic Disorder,Dysthymic Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ear Drum Damage,Ear Drum Damage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ear Wax Impaction,Ear Wax Impaction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Eating Disorder,Eating Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ectopic Pregnancy,Ectopic Pregnancy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ectropion,Ectropion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Eczema,Eczema is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Edward Syndrome,Edward Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ehlers-Danlos Syndrome,Ehlers-Danlos Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Emphysema,Emphysema is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Empyema,Empyema is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Encephalitis,Encephalitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Endocarditis,Endocarditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Endometrial Cancer,Endometrial Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Endometrial Hyperplasia,Endometrial Hyperplasia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Endometriosis,Endometriosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
